%bitvector, integer HC
n	NONE		DEGREE		ACTIVITY		RND
5	0.671	0	0.455	0	0.466	0	0.909	0
15	2.357	0	2.216	0	2.033	0	26.092	0
25	7.53	0	7.318	0	18.572	0	5626.675	44
35	47.841	0	55.983	0	228.51	0	11626.856	50
45	1091.132	3	1021.487	2	2858.393	18	17626.897	50
%bitvector, decomp HC
n	NONE		DEGREE		ACTIVITY		RND
5	4.392	0	2.148	0	2.254	0	2.064	0
15	12.561	0	11.585	0	8.522	0	170.49	0
25	54.929	0	45.978	0	76.126	0	6052.463	49
35	494.469	0	477.261	0	1017.455	4	12052.959	50
45	4219.289	20	4247.003	24	5441.098	31	18053.466	50
%bitvector, HC
n	NONE		DEGREE		ACTIVITY		RND
5	0.576	0	0.415	0	0.425	0	0.722	0
15	2.175	0	1.764	0	1.784	0	30.97	0
25	8.243	0	6.793	0	9.362	0	5584.651	44
35	75.378	0	49.221	0	189.143	0	11584.86	50
45	1055.965	2	976.403	2	2798.582	18	17584.922	50
%bitvector, HC, S7 global
n	NONE		DEGREE		ACTIVITY		RND
5	0.422	0	0.423	0	0.833	0	0.518	0
15	1.843	0	1.927	0	3.682	0	44.169	0
25	6.157	0	6.032	0	10.004	0	5523.919	41
35	44.235	0	37.859	0	265.317	1	11523.94	50
45	790.591	0	766.66	0	2811.823	16	17523.991	50
%set, integer HC
n	NONE		DEGREE		ACTIVITY		RND
5	4.593	0	4.475	0	4.058	0	4.703	0
15	16.354	0	627.974	0	15.959	0	121.918	0
25	62.986	0	6232.788	45	116.884	0	5432.671	38
35	461.245	0	12233.169	50	2737.743	15	11434.109	50
45	3975.914	21	18233.551	50	8455.11	46	17434.815	50
